fueltype,energy2006,energy2007,energy2008,energy2009,energy2010,energy2011,energy2012,energy2013,energy2014,energy2015,energy2016,geography,sector,value,gdp2006,gdp2007,gdp2008,gdp2009,gdp2010,gdp2011,gdp2012,gdp2013,gdp2014,gdp2015,gdp2016,industrycode,lev1,lev2,lev3
Total primary and secondary energy,112523,119360,111000,97547,108772,103260,94138,92549,86000,88292,85568,Atlantic provinces,Total industrial,Chained (2007) dollars,58.7,53.900002,53.900002,47.599998,47,47.900002,46.900002,58,58.900002,65.5,63,1153,1,0,0
Total primary and secondary energy,112523,119360,111000,97547,108772,103260,94138,92549,86000,88292,85568,Atlantic provinces,Total industrial,Chained (2007) dollars,1024.3,1027.1,1079.2,934.5,932.40002,909.90002,1022.4,1002.8,956.5,984.29999,906.40002,31-33,1,0,0
Total primary and secondary energy,112523,119360,111000,97547,108772,103260,94138,92549,86000,88292,85568,Atlantic provinces,Total industrial,Chained (2007) dollars,12.4,13.2,11.3,10.5,5.4000001,6.5999999,6.3000002,8.3999996,8.8000002,8.8999996,8.8999996,1153,1,0,0
Total primary and secondary energy,112523,119360,111000,97547,108772,103260,94138,92549,86000,88292,85568,Atlantic provinces,Total industrial,Chained (2007) dollars,18.7,21,27.700001,34.200001,41.900002,37.700001,28.5,25.6,23.299999,25.799999,25.6,1153,1,0,0
Total primary and secondary energy,112523,119360,111000,97547,108772,103260,94138,92549,86000,88292,85568,Atlantic provinces,Total industrial,Chained (2007) dollars,371.1,405.10001,406.5,388.5,371.29999,376.29999,393.10001,422.89999,467.89999,483,495.70001,31-33,1,0,0
Total primary and secondary energy,112523,119360,111000,97547,108772,103260,94138,92549,86000,88292,85568,Atlantic provinces,Total industrial,Chained (2007) dollars,1625.0,1811.2,1839.8,1655.7,1639.8,1662.8,1525.3,1356.7,1363.1,1379.1,1428.8,23,1,0,0
Total primary and secondary energy,112523,119360,111000,97547,108772,103260,94138,92549,86000,88292,85568,Atlantic provinces,Total industrial,Chained (2007) dollars,3079.0,2923.3999,2756.3999,2737.2,2884,2869.8,2794.1001,2908.1001,2788.2,2942.7,2948.6001,31-33,1,0,0
Total primary and secondary energy,112523,119360,111000,97547,108772,103260,94138,92549,86000,88292,85568,Atlantic provinces,Total industrial,Chained (2007) dollars,804.5,859.09998,933,590.5,642.90002,631.5,577.79999,348.60001,265.20001,305.39999,215.7,21,1,0,0
Total primary and secondary energy,112523,119360,111000,97547,108772,103260,94138,92549,86000,88292,85568,Atlantic provinces,Total industrial,Chained (2007) dollars,1344.1,1421.9,1473.7,1213.7,1132,930.20001,689.70001,586.40002,881.29999,711.5,677.29999,21,1,0,0
Total primary and secondary energy,112523,119360,111000,97547,108772,103260,94138,92549,86000,88292,85568,Atlantic provinces,Total industrial,Chained (2007) dollars,104.4,86.400002,92.800003,93.800003,76.900002,81.300003,72.099998,71,74.400002,72,68.5,113,1,0,0
Total primary and secondary energy,112523,119360,111000,97547,108772,103260,94138,92549,86000,88292,85568,Atlantic provinces,Total industrial,Chained (2007) dollars,6.1,6,5.1999998,4.3000002,4.5,5.1999998,4.9000001,5.0999999,4.8000002,5.5,6,113,1,0,0
Total primary and secondary energy,112523,119360,111000,97547,108772,103260,94138,92549,86000,88292,85568,Atlantic provinces,Total industrial,Chained (2007) dollars,1.1,1.1,.5,.60000002,.40000001,.30000001,.30000001,.30000001,.30000001,.40000001,.40000001,1153,1,0,0
Total primary and secondary energy,112523,119360,111000,97547,108772,103260,94138,92549,86000,88292,85568,Atlantic provinces,Total industrial,Chained (2007) dollars,93.1,86.800003,89.400002,70.699997,80.300003,76.199997,66.199997,55.400002,63.799999,64.699997,62.5,113,1,0,0
Total primary and secondary energy,112523,119360,111000,97547,108772,103260,94138,92549,86000,88292,85568,Atlantic provinces,Total industrial,Chained (2007) dollars,0.5,1.6,3.0999999,1.8,1.4,1.5,1.8,1.7,1.5,1.5,1.6,21,1,0,0
Total primary and secondary energy,112523,119360,111000,97547,108772,103260,94138,92549,86000,88292,85568,Atlantic provinces,Total industrial,Chained (2007) dollars,219.1,231.89999,254.7,223.7,261.79999,256.29999,253.3,250.89999,276,308.70001,315.60001,113,1,0,0
Total primary and secondary energy,112523,119360,111000,97547,108772,103260,94138,92549,86000,88292,85568,Atlantic provinces,Total industrial,Chained (2007) dollars,10677.1,12923.1,11859.8,9186.0996,9914.2998,10021.7,8015.5,8842.7998,8125.5,7470.2002,8560.2998,21,1,0,0
Total primary and secondary energy,112523,119360,111000,97547,108772,103260,94138,92549,86000,88292,85568,Atlantic provinces,Total industrial,Chained (2007) dollars,268.3,273.79999,264.10001,264.70001,259.5,285.29999,255.3,264.39999,216.5,209.10001,221.7,23,1,0,0
